country,Indicator Name,region,year,ExportValueIndex
Tajikistan,Export value index (2000 = 100),Central Asia,2007,164.8326970337
Thailand,Export value index (2000 = 100),Southeast Asia,2007,71.7968057262
Turkey,Export value index (2000 = 100),West Asia,2007,71.0493099585
Turkmenistan,Export value index (2000 = 100),Central Asia,2007,89.3209999892
United Arab Emirates,Export value index (2000 = 100),West Asia,2007,59.4489057507
Uzbekistan,Export value index (2000 = 100),Central Asia,2007,85.0238022088
Vietnam,Export value index (2000 = 100),Southeast Asia,2007,29.9639672665
Yemen,Export value index (2000 = 100),West Asia,2007,1235.4308456411
Afghanistan,Export value index (2000 = 100),South Asia,2008,94.5154487499
Armenia,Export value index (2000 = 100),,2008,71.1760118453
Azerbaijan,Export value index (2000 = 100),,2008,184.3405857226
Bahrain,Export value index (2000 = 100),West Asia,2008,104.6889632074
Bangladesh,Export value index (2000 = 100),South Asia,2008,47.4682430164
Bhutan,Export value index (2000 = 100),South Asia,2008,94.948775746
Brunei,Export value index (2000 = 100),,2008,162.4372428792
Cambodia,Export value index (2000 = 100),Southeast Asia,2008,55.1132148009
China,Export value index (2000 = 100),East Asia,2008,62.9299818619
Cyprus,Export value index (2000 = 100),,2008,49.5570498792
Georgia,Export value index (2000 = 100),,2008,67.8386716293
"Hong Kong, China",Export value index (2000 = 100),,2008,72.5273373993
India,Export value index (2000 = 100),South Asia,2008,72.7103239228
Indonesia,Export value index (2000 = 100),Southeast Asia,2008,92.8439490347
"Iran, Islamic Rep.",Export value index (2000 = 100),,2008,161.74742085
Iraq,Export value index (2000 = 100),West Asia,2008,106.4195660963
Israel,Export value index (2000 = 100),West Asia,2008,95.7449101636
Japan,Export value index (2000 = 100),East Asia,2008,125.0416796098
Jordan,Export value index (2000 = 100),West Asia,2008,101.3348431255
Kazakhstan,Export value index (2000 = 100),Central Asia,2008,154.8706563156
"Korea, Rep.",Export value index (2000 = 100),East Asia,2008,80.1143080985
Kuwait,Export value index (2000 = 100),West Asia,2008,161.5917166695
Kyrgyz Republic,Export value index (2000 = 100),Central Asia,2008,128.7359511366
Lao PDR,Export value index (2000 = 100),,2008,29.8880055158
Lebanon,Export value index (2000 = 100),West Asia,2008,111.8667966465
Malaysia,Export value index (2000 = 100),Southeast Asia,2008,99.731340096
Maldives,Export value index (2000 = 100),South Asia,2008,138.2507118478
Mongolia,Export value index (2000 = 100),East Asia,2008,54.3828839503
Myanmar,Export value index (2000 = 100),Southeast Asia,2008,60.217958141
Nepal,Export value index (2000 = 100),South Asia,2008,130.2628529425
Oman,Export value index (2000 = 100),West Asia,2008,118.1431760232
Pakistan,Export value index (2000 = 100),South Asia,2008,92.0049399854
Philippines,Export value index (2000 = 100),Southeast Asia,2008,83.4265628564
Qatar,Export value index (2000 = 100),West Asia,2008,86.3232158568
Russian Federation,Export value index (2000 = 100),,2008,138.1311526505
Saudi Arabia,Export value index (2000 = 100),West Asia,2008,153.997430103
Singapore,Export value index (2000 = 100),Southeast Asia,2008,96.1855991907
Sri Lanka,Export value index (2000 = 100),South Asia,2008,80.1412790856
Syrian Arab Republic,Export value index (2000 = 100),,2008,1738.1790290427
Tajikistan,Export value index (2000 = 100),Central Asia,2008,158.1742645404
Thailand,Export value index (2000 = 100),Southeast Asia,2008,82.9536513056
Turkey,Export value index (2000 = 100),West Asia,2008,87.4455872368
